Designator,Mid X,Mid Y,Rotation,Layer
C104,121.45,3.45,270.0,bottom
C301,118.800339,1.644504,0.0,bottom
C302,123.425,8.95,90.0,bottom
C303,120.8175,6.684504,180.0,bottom
C304,120.682839,5.844504,180.0,bottom
C305,120.167839,1.794504,180.0,bottom
C306,124.850339,4.012004,90.0,bottom
C307,120.325,8.95,270.0,bottom
C308,125.667839,4.794504,0.0,bottom
C309,122.4,5.5325,270.0,bottom
C310,120.150339,1.294504,180.0,bottom
C311,125.6325,1.3,0.0,bottom
C312,126.250339,5.294504,180.0,bottom
C313,124.200339,5.794504,0.0,bottom
C314,125.667839,3.794504,0.0,bottom
C315,125.400339,6.062004,270.0,bottom
C316,119.567839,2.294504,0.0,bottom
C317,119.617966,0.794351,0.0,bottom
C318,120.2325,3.3,180.0,bottom
C319,120.150339,5.294504,180.0,bottom
C320,121.900339,0.544504,90.0,bottom
C321,122.898679,6.527004,90.0,bottom
C322,125.667839,3.294504,0.0,bottom
C323,125.667839,2.794504,0.0,bottom
C324,123.900339,0.544504,90.0,bottom
C325,124.40392,0.024426,270.0,bottom
C708,131.0,-9.5,270.0,bottom
C712,143.85,-19.25,0.0,bottom
C901,101.55,2.8,90.0,bottom
C902,102.400212,2.794657,90.0,bottom
C903,105.900212,1.294657,180.0,bottom
C904,104.900212,4.294657,0.0,bottom
C1216,62.583,27.164,180.0,bottom
C1217,62.583,13.664,180.0,bottom
C1218,62.533,40.664,180.0,bottom
C1501,89.3,102.7428,180.0,bottom
C1502,89.2,95.2428,180.0,bottom
C1503,87.088,101.1208,90.0,bottom
C1507,96.725,99.125,90.0,bottom
C1508,95.15,99.125,90.0,bottom
J102,163.0925,21.223085,270.0,bottom
R104,120.6325,3.8,180.0,bottom
R301,120.0,7.5,180.0,bottom
R302,124.350339,4.027004,270.0,bottom
R304,118.55,-2.575,180.0,bottom
R305,118.55,-0.925,180.0,bottom
R703,142.1,-2.45,270.0,bottom
R704,139.7,-9.2,180.0,bottom
R707,143.9,-17.5,0.0,bottom
R1003,85.6294,83.9347,0.0,bottom
R1011,93.4556,84.1,270.0,bottom
R1013,96.295,85.58,0.0,bottom
R1014,96.295,82.38,180.0,bottom
R1502,89.3,101.8428,180.0,bottom
R1503,88.9,96.3428,180.0,bottom
U1501,90.725,99.1208,180.0,bottom
X301,121.875,8.95,0.0,bottom
C101,150.4,95.8,0.0,top
C102,152.5,-37.0,180.0,top
C103,50.4,95.8,0.0,top
C105,155.575,-27.325,90.0,top
C106,152.5,-35.4,180.0,top
C107,49.6,-46.0,180.0,top
C108,155.0,-41.3,270.0,top
C109,150.4,-45.8,0.0,top
C110,153.75,-41.3,270.0,top
C111,150.694936,70.660153,0.0,top
C112,150.694936,88.060153,0.0,top
C113,84.2,13.4925,90.0,top
C114,83.55,13.575,270.0,top
C115,132.1,26.7,270.0,top
C201,118.4575,-5.35,0.0,top
C202,114.2,52.35,90.0,top
C401,124.535,51.6725,270.0,top
C402,133.65,34.5735,90.0,top
C403,130.85,31.65,270.0,top
C404,128.8,32.05,180.0,top
C405,132.75,33.6235,270.0,top
C406,132.75,35.5235,90.0,top
C407,130.0,31.65,270.0,top
C408,127.15,32.75,270.0,top
C409,127.15,36.35,90.0,top
C410,118.3,35.831,90.0,top
C411,120.85,31.5,0.0,top
C412,120.875,32.3985,0.0,top
C601,99.14,33.1385,270.0,top
C602,96.54,32.0385,180.0,top
C603,101.75,35.1885,270.0,top
C604,100.65,37.7885,0.0,top
C605,97.7,36.7885,0.0,top
C606,97.8,41.2885,0.0,top
C701,126.2,-9.15,0.0,top
C702,143.5,1.0,0.0,top
C703,126.200339,-8.305496,0.0,top
C704,126.100339,-7.105496,0.0,top
C705,126.100339,-7.605496,0.0,top
C706,122.1425,-2.549847,180.0,top
C707,122.1425,-3.049847,180.0,top
C709,121.95,-1.85,180.0,top
C710,124.600339,-9.005496,180.0,top
C711,121.95,-1.0,180.0,top
C803,119.1,-37.35,90.0,top
C804,115.95,-37.35,90.0,top
C805,117.5252,-37.35,90.0,top
C806,119.7308,-46.686,180.0,top
C807,126.0236,-40.4884,0.0,top
C808,126.1,-41.7,0.0,top
C809,121.1,-38.15,0.0,top
C810,124.9568,-46.2224,90.0,top
C811,125.8,-46.33,90.0,top
C812,118.08,-48.3,90.0,top
C813,119.35,-48.3,90.0,top
C1001,84.3,86.5825,270.0,top
C1002,87.5044,82.1972,90.0,top
C1003,89.4,87.6428,180.0,top
C1004,89.3,80.5428,180.0,top
C1005,102.4556,83.0,270.0,top
C1006,100.9556,82.5,270.0,top
C1007,100.9556,84.1,270.0,top
C1008,105.2381,89.0,180.0,top
C1101,104.9,-25.2,90.0,top
C1102,109.2,-23.7,270.0,top
C1201,61.35,3.05,90.0,top
C1202,69.6,-3.6,90.0,top
C1203,62.436,1.8378,180.0,top
C1204,68.7098,-0.7753,270.0,top
C1205,60.4802,3.1358,90.0,top
C1206,61.339,-5.946,180.0,top
C1207,60.847,-8.754,0.0,top
C1208,62.583,13.664,0.0,top
C1209,57.25,5.1,180.0,top
C1210,57.25,6.3,0.0,top
C1211,56.85,3.1,0.0,top
C1212,56.85,0.25,0.0,top
C1213,74.228,-6.722,0.0,top
C1214,75.517,-9.643,90.0,top
C1215,62.583,27.164,0.0,top
C1219,62.533,40.664,0.0,top
C1301,102.95,53.151684,90.0,top
C1302,108.5,53.481684,270.0,top
C1303,107.65,53.351684,90.0,top
C1401,117.73,51.5707,0.0,top
C1402,117.6125,55.8707,0.0,top
C1504,100.219873,101.022953,90.0,top
C1505,98.1,95.3428,0.0,top
C1506,98.8,102.5428,0.0,top
C1509,90.615,99.125,90.0,top
C1510,92.17,99.125,90.0,top
C1601,157.1,34.8,0.0,top
C1602,157.1,33.95,0.0,top
C1603,158.35,28.5,270.0,top
C1604,157.327432,27.846077,90.0,top
C1605,156.047432,27.496077,180.0,top
C1606,155.290186,34.895771,90.0,top
C1607,159.2,28.5,270.0,top
D101,156.95,-39.1,0.0,top
D301,126.1875,8.7,180.0,top
D401,133.335,60.535,180.0,top
D402,133.385,59.035,0.0,top
D403,125.435,60.535,0.0,top
D404,125.435,59.035,180.0,top
D801,105.5,-55.2125,90.0,top
D1101,113.5,-55.2125,90.0,top
D1201,60.6625,-7.25,180.0,top
D1301,107.75,51.826684,270.0,top
J101,160.75,-28.475,90.0,top
J103,152.9325,-9.2,270.0,top
J104,123.59,18.51,180.0,top
J105,162.4,8.6,90.0,top
J106,162.375,51.15,90.0,top
J107,151.494936,75.9,0.0,top
J108,147.905063,75.9,0.0,top
J109,151.494936,82.86,180.0,top
