Designator,Mid X,Mid Y,Rotation,Layer
C104,121.41368,3.465367,270.0,bottom
C301,118.155644,3.503532,0.0,bottom
C302,120.915427,11.374743,0.0,bottom
C303,120.8175,6.684504,180.0,bottom
C304,120.69499,5.878216,180.0,bottom
C305,119.567839,1.794351,0.0,bottom
C306,124.879624,3.973898,90.0,bottom
C307,121.16155,8.269464,180.0,bottom
C308,126.23194,4.795522,180.0,bottom
C309,122.694823,5.26625,0.0,bottom
C310,119.567839,1.294351,0.0,bottom
C311,126.182966,1.294351,180.0,bottom
C312,126.250339,5.294504,180.0,bottom
C313,124.200339,5.794504,0.0,bottom
C314,126.182839,3.794504,180.0,bottom
C315,124.481986,6.464141,0.0,bottom
C316,119.567839,2.294504,0.0,bottom
C317,119.567839,0.794351,0.0,bottom
C318,119.271563,3.16116,270.0,bottom
C319,119.617966,5.294351,0.0,bottom
C320,121.900339,0.544504,90.0,bottom
C321,122.899864,6.595386,90.0,bottom
C322,126.182839,3.296414,180.0,bottom
C323,126.182966,2.794351,180.0,bottom
C324,123.911677,-0.024734,270.0,bottom
C325,124.428484,-0.051702,270.0,bottom
C708,131.0,-9.5,270.0,bottom
C712,143.85,-19.25,0.0,bottom
C901,101.55,2.8,90.0,bottom
C902,102.400212,2.794657,90.0,bottom
C903,105.900212,1.294657,180.0,bottom
C904,104.935906,4.37668,0.0,bottom
C1005,101.593294,86.522816,180.0,bottom
C1006,100.042889,84.975396,180.0,bottom
C1007,100.042889,83.024676,180.0,bottom
C1501,89.3,102.7428,180.0,bottom
C1502,89.2,95.2428,180.0,bottom
C1503,87.088,101.1208,90.0,bottom
C1507,96.725,99.125,90.0,bottom
C1508,95.15,99.125,90.0,bottom
R104,118.78328,4.229279,180.0,bottom
R105,125.239774,80.123976,90.0,bottom
R106,125.239774,81.823976,90.0,bottom
R107,132.312513,77.653436,90.0,bottom
R108,132.312513,79.353436,90.0,bottom
R301,120.0,7.5,180.0,bottom
R302,124.377684,3.973898,270.0,bottom
R304,118.55,-2.575,180.0,bottom
R305,118.55,-0.925,180.0,bottom
