Designator,Mid X,Mid Y,Rotation,Layer
C112,-3.975575,-30.393894,180.0,bottom
C301,-7.260208,-30.990074,90.0,bottom
C302,-6.388424,-31.112584,90.0,bottom
C303,-11.884951,-30.892147,270.0,bottom
C304,-8.779672,-30.646024,90.0,bottom
C305,-1.804559,-25.624608,90.0,bottom
C306,-5.804712,-25.557235,90.0,bottom
C307,-3.590011,-33.308915,180.0,bottom
C308,-6.510208,-27.407574,270.0,bottom
C309,-4.308748,-25.615177,90.0,bottom
C310,-7.179845,-27.125927,270.0,bottom
C311,-2.304559,-32.239735,270.0,bottom
C312,-4.471189,-26.431395,0.0,bottom
C313,-1.304559,-32.239735,270.0,bottom
C314,-3.671368,-32.536011,180.0,bottom
C315,-5.804559,-32.189608,270.0,bottom
C316,-5.30573,-25.575634,90.0,bottom
C317,-1.054712,-29.907235,0.0,bottom
C318,-7.105594,-28.90771,0.0,bottom
C319,-3.810658,-25.615177,90.0,bottom
C320,-5.804559,-29.099608,270.0,bottom
C321,-1.804559,-32.239735,270.0,bottom
C322,-3.308595,-25.61505,90.0,bottom
C323,-0.485474,-27.895897,180.0,bottom
C324,-0.458506,-27.37909,180.0,bottom
C325,-2.804712,-32.239735,270.0,bottom
C416,39.698993,7.395694,270.0,bottom
C417,39.70623,14.139113,90.0,bottom
C710,16.559952,-34.8525,270.0,bottom
C711,24.880707,-40.239007,0.0,bottom
C901,-3.310208,-40.380952,0.0,bottom
C902,-3.304865,-39.53074,0.0,bottom
C903,-1.804865,-36.03074,90.0,bottom
C904,-4.886888,-36.995046,270.0,bottom
C1003,-4.085651,42.249498,180.0,bottom
C1004,-5.636056,40.702078,180.0,bottom
C1005,-5.636056,38.751358,180.0,bottom
C1401,-40.696184,-24.723432,180.0,bottom
C1402,-36.996184,-22.223432,90.0,bottom
NT1501,-19.282315,48.132595,0.0,bottom
R103,-4.739487,-33.024294,90.0,bottom
R301,-8.075704,-31.807574,90.0,bottom
R302,-4.484106,-27.42989,180.0,bottom
R303,-3.383111,-23.058806,90.0,bottom
R304,1.309989,-30.108915,0.0,bottom
R305,-2.36334,-21.768299,90.0,bottom
R306,1.309989,-31.029112,0.0,bottom
R501,0.919114,58.463091,90.0,bottom
R502,0.919114,60.663091,90.0,bottom
R503,-0.080886,58.463091,90.0,bottom
R504,-0.080886,60.663091,90.0,bottom
R505,-1.080886,58.463091,90.0,bottom
R506,-1.080886,60.663091,90.0,bottom
R710,25.930707,-38.315738,0.0,bottom
R711,26.659975,-28.21,180.0,bottom
R712,26.643688,-34.56,180.0,bottom
R1003,-20.049545,39.661382,0.0,bottom
R1015,-12.324171,39.829917,270.0,bottom
R1016,-7.584545,41.352282,0.0,bottom
R1017,-7.584545,38.101082,180.0,bottom
R1401,-37.796184,-24.673432,0.0,bottom
R1402,-42.55001,-22.293681,90.0,bottom
TP301,-1.304712,-26.407235,180.0,bottom
TP302,-1.804712,-26.907235,180.0,bottom
TP303,-1.304712,-25.907235,180.0,bottom
TP304,-5.304712,-26.907235,180.0,bottom
TP305,-5.804712,-26.407235,180.0,bottom
TP306,-6.304712,-25.907235,180.0,bottom
TP307,-5.300208,-27.909381,270.0,bottom
TP308,-5.304712,-29.909608,180.0,bottom
TP309,-6.310208,-31.907574,180.0,bottom
TP310,-6.810208,-31.907574,180.0,bottom
TP311,-5.304712,-30.907235,180.0,bottom
TP312,-0.804712,-31.907235,180.0,bottom
TP313,-1.804712,-30.907108,180.0,bottom
TP314,-1.304712,-31.407235,180.0,bottom
TP315,-0.804559,-31.409608,0.0,bottom
TP316,-0.804559,-30.907108,0.0,bottom
TP317,-1.304559,-30.907108,0.0,bottom
TP318,-0.804712,-29.407235,180.0,bottom
TP319,-2.804712,-28.907235,180.0,bottom
TP320,-3.804712,-28.907235,180.0,bottom
TP321,-6.804559,-28.404608,0.0,bottom
TP322,-5.304712,-28.907235,180.0,bottom
TP323,-6.304712,-28.908895,180.0,bottom
TP324,-5.304712,-29.414608,180.0,bottom
TP325,-4.304559,-29.907108,0.0,bottom
TP326,-4.304559,-30.407108,0.0,bottom
TP327,-3.804712,-29.407235,180.0,bottom
TP328,-5.810208,-29.407574,0.0,bottom
TP329,-4.804559,-26.409608,0.0,bottom
TP330,-4.810208,-29.407574,0.0,bottom
TP331,-5.804559,-30.909608,0.0,bottom
TP332,-5.304712,-30.407235,180.0,bottom
TP333,-5.304712,-31.407235,0.0,bottom
TP334,-4.804712,-29.907235,180.0,bottom
TP335,-5.304559,-31.907108,180.0,bottom
TP336,-4.804559,-30.409608,0.0,bottom
TP337,-0.804559,-28.404608,0.0,bottom
TP338,-1.804559,-27.907108,0.0,bottom
TP339,-1.305208,-27.407574,0.0,bottom
TP340,-2.304559,-26.907108,0.0,bottom
TP341,-4.304712,-31.907235,180.0,bottom
TP342,-4.304712,-27.907235,180.0,bottom
TP343,-4.804712,-28.407235,180.0,bottom
TP344,-4.804712,-27.907235,180.0,bottom
TP345,-2.804559,-30.409608,0.0,bottom
TP346,-2.304559,-30.907108,0.0,bottom
TP347,-1.804559,-30.409608,0.0,bottom
TP348,-2.304559,-29.407108,0.0,bottom
TP349,-6.304559,-29.904608,0.0,bottom
TP350,-5.804559,-29.909608,0.0,bottom
TP351,-4.804712,-30.907235,0.0,bottom
TP352,-4.804559,-31.404608,0.0,bottom
TP353,-1.304559,-28.409608,0.0,bottom
TP354,-2.804712,-26.907235,180.0,bottom
TP355,-2.804712,-26.407235,180.0,bottom
TP356,-3.304712,-27.907108,180.0,bottom
TP357,-3.304712,-26.907235,180.0,bottom
TP358,-3.304712,-27.407235,180.0,bottom
TP359,-1.804559,-29.407108,270.0,bottom
TP360,-1.304559,-29.407108,270.0,bottom
TP361,-2.304559,-28.907108,90.0,bottom
TP362,-5.804712,-26.907235,180.0,bottom
TP363,-3.304712,-29.907235,180.0,bottom
TP364,-3.304712,-31.907235,180.0,bottom
TP365,-3.304712,-30.907235,180.0,bottom
TP366,-3.304712,-31.407235,180.0,bottom
TP367,-2.804712,-31.407235,180.0,bottom
TP368,-4.304559,-26.907108,180.0,bottom
TP369,-2.804559,-29.407108,180.0,bottom
TP370,-2.804559,-27.907108,180.0,bottom
U1401,-39.646184,-22.298432,270.0,bottom
X301,-10.334951,-30.892147,180.0,bottom
C101,36.900008,45.906739,0.0,top
C102,-3.97316,-56.842624,270.0,top
C103,-37.540008,45.466731,270.0,top
C104,1.92684,-57.242624,180.0,top
C105,-5.57316,-56.842624,270.0,top
C106,-41.490011,-50.408915,270.0,top
C107,-1.07316,-56.642624,270.0,top
C108,41.700007,-50.4,270.0,top
C109,-2.32316,-56.642624,270.0,top
C110,10.671242,-13.870769,0.0,top
C111,10.753742,-13.220769,180.0,top
C201,-11.133611,-27.845531,90.0,top
C202,-27.571178,-49.883859,270.0,top
C203,37.259992,-5.982665,0.0,top
C204,44.127324,-1.073684,90.0,top
C205,36.461731,-1.085864,90.0,top
C206,37.75958,-1.054702,90.0,top
C207,30.12085,-1.071773,90.0,top
C208,-15.806808,-45.263885,270.0,top
C209,-7.706808,-45.263885,270.0,top
C210,0.393192,-45.263885,270.0,top
C211,8.493192,-45.263885,270.0,top
C212,16.593192,-45.263885,270.0,top
C401,33.508248,7.281941,0.0,top
C402,34.778248,15.829567,0.0,top
C403,31.725,14.0,270.0,top
C404,22.747028,11.668042,270.0,top
C405,27.172065,12.351309,270.0,top
C406,25.492065,8.151309,0.0,top
C407,25.492065,15.151309,0.0,top
C408,11.061764,-5.618462,180.0,top
C409,17.791662,17.51464,0.0,top
C410,17.391662,15.46464,270.0,top
C411,17.791662,16.66464,0.0,top
C412,15.788794,13.817508,0.0,top
C413,13.93901,13.817292,180.0,top
C414,16.707701,-0.476242,90.0,top
C415,15.809201,-0.451242,90.0,top
C501,-38.350838,-3.541734,0.0,top
C502,-38.340008,14.766731,0.0,top
C503,3.825304,59.566915,0.0,top
C504,7.834243,47.520611,90.0,top
C505,10.24498,41.355227,270.0,top
C506,8.98276,36.605792,0.0,top
C601,18.494992,-8.674271,180.0,top
C602,17.394992,-6.074271,90.0,top
C603,20.101274,-12.378985,180.0,top
C604,22.701274,-11.278985,270.0,top
C605,22.144992,-7.234271,270.0,top
C606,26.644992,-7.334271,270.0,top
C701,7.144992,-27.638765,180.0,top
C702,12.159653,-35.830217,90.0,top
C703,7.144992,-28.488765,180.0,top
C704,7.027492,-29.738765,180.0,top
C705,7.027492,-29.238765,180.0,top
C706,11.612286,-33.165697,0.0,top
C707,11.604543,-32.673224,0.0,top
C708,11.709992,-33.838765,0.0,top
C709,11.709653,-34.683269,0.0,top
C712,27.555972,-24.06,0.0,top
C801,16.465628,-63.222382,270.0,top
C802,19.615628,-63.222382,270.0,top
C803,18.040428,-63.222382,270.0,top
C804,9.542028,-60.083982,180.0,top
C805,15.834828,-53.886382,0.0,top
C806,9.465628,-58.872382,180.0,top
C807,14.465628,-62.422382,180.0,top
C808,14.363306,-63.735705,0.0,top
C809,10.608828,-54.349982,270.0,top
C810,9.765628,-54.242382,270.0,top
C811,17.485628,-52.272382,270.0,top
C812,16.215628,-52.272382,270.0,top
C1001,-22.311445,42.026682,0.0,top
C1002,-18.174545,37.923882,90.0,top
C1006,-16.278945,43.369482,180.0,top
C1007,-16.378945,36.269482,180.0,top
C1101,6.456719,-55.390366,180.0,top
